Title,Author,Year,Citation count,Open access,Funder,Institution,Countries count,Keyword
Marine Antimicrobial Peptides-Based Strategies for Tackling Bacterial Biofilm and Biofouling Challenges,Anupam Patra|Jhilik Das|Nupur Rani Agrawal|G.S. Kushwaha|Mrinmoy Ghosh|Young‐Ok Son,2022,36,Open Access,Indian Council of Medical Research|National Research Foundation of Korea,International Centre for Genetic Engineering and Biotechnology|Indian Institute of Science Bangalore|KIIT University|Jeju National University|Kalasalingam Academy of Research and Education,2,Biofouling|Biofilm|Extracellular polymeric substance|Biochemical engineering|Antimicrobial|Antimicrobial peptides|Biology|Repurposing|Microbiology|Marine industry|Ecology|Bacteria|Engineering|Environmental science|Membrane|Environmental protection
Antimicrobial peptides prevent bacterial biofilm formation on the surface of polymethylmethacrylate bone cement,Andrea Volejníková|Pavel Melicherčík|Ondřej Nešuta|Eva Vaňková|Lucie Bednářová|Jiří Rybáček|Václav Čeřovský,2019,36,NOT Open Access,,"Czech Academy of Sciences, Institute of Organic Chemistry and Biochemistry|Charles University|University Hospital in Motol",1,Biofilm|Antimicrobial|Microbiology|Bone cement|Cement|Antimicrobial peptides|Chemistry|Bacteria|Materials science|Biology|Composite material
A Comprehensive Review of Recent Research into the Effects of Antimicrobial Peptides on Biofilms—January 2020 to September 2023,Alessio Fontanot|Isabella Ellinger|Wendy W. J. Unger|John P. Hays,2024,38,Open Access,European Commission|HORIZON EUROPE Framework Programme,Erasmus MC|Erasmus MC - Sophia Children’s Hospital|Medical University of Vienna,2,Biofilm|Antimicrobial|Antimicrobial peptides|Pseudomonas aeruginosa|Antibiotics|Microbiology|Polymyxin|Antibiotic resistance|Staphylococcus aureus|Polymyxin B|Bacteria|Chemistry|Biology
Characteristics and therapeutic applications of antimicrobial peptides,Olga V. Makhlynets|Gregory A. Caputo,2021,20,Open Access,Syracuse University,Syracuse University|Rowan University,1,Antimicrobial peptides|Antimicrobial|Biocompatibility|Self-healing hydrogels|Chemistry|Computational biology|Nanotechnology|Combinatorial chemistry|Biology|Microbiology|Materials science
Use of the Antimicrobial Peptide Sublancin with Combined Antibacterial and Immunomodulatory Activities To Protect against Methicillin-Resistant <i>Staphylococcus aureus</i> Infection in Mice,Shuai Wang|Qingwei Wang|Xiangfang Zeng|Qianhong Ye|Shuo Huang|Haitao Yu|Tianren Yang|Shiyan Qiao,2017,66,NOT Open Access,Ministry of Science and Technology of the People's Republic of China|Ministry of Agriculture of the People's Republic of China,Huazhong Agricultural University|China Agricultural University,1,Staphylococcus aureus|Antimicrobial|Microbiology|Methicillin-resistant Staphylococcus aureus|Antibiotics|Sepsis|Antimicrobial peptides|Pathogen|Staphylococcal infections|Immune system|Medicine|Bacteria|Immunology|Biology
Formulation technologies and advances for oral delivery of novel nitroimidazoles and antimicrobial peptides,John Ndayishimiye|Amirali Popat|Mark A. T. Blaskovich|James R. Falconer,2020,32,NOT Open Access,"School of Pharmacy, University of Queensland",The University of Queensland|Translational Research Institute|Mater Research,1,Bioavailability|Antimicrobial|Antibiotics|Drug|Chemistry|Drug delivery|Pharmacology|Biochemical engineering|Medicine|Organic chemistry|Engineering
Liquid storage of boar semen: Current and future perspectives on the use of cationic antimicrobial peptides to replace antibiotics in semen extenders,Martin Schulze|Margitta Dathe|Dagmar Waberski|K. Müller,2015,53,NOT Open Access,European Commission,"Institute for Animal Reproduction|Leibniz Association|University of Veterinary Medicine Vienna|University of Veterinary Medicine Hannover, Foundation|Leibniz Institute for Zoo and Wildlife Research",3,Antibiotics|Antimicrobial|Antimicrobial peptides|Semen|Antibiotic resistance|Magainin|Biology|Microbiology|Artificial insemination|Biotechnology
Identification of potential therapeutic antimicrobial peptides against Acinetobacter baumannii in a mouse model of pneumonia,Chiau‐Jing Jung|You‐Di Liao|Chih-Chieh Hsu|Ting-Yu Huang|Yu‐Chung Chuang|Jeng‐Wei Chen|Yu‐Min Kuo|Jean‐San Chia,2021,38,Open Access,Taipei Medical University,"Taipei Medical University|Institute of Biomedical Sciences, Academia Sinica|National Taiwan University|National Taiwan University Hospital",1,Acinetobacter baumannii|Antimicrobial|Pneumonia|Microbiology|Antibiotics|Antibiotic resistance|Antimicrobial peptides|In vivo|Medicine|Biology|Pseudomonas aeruginosa|Bacteria|Internal medicine|Biotechnology
Newly designed antimicrobial peptides with potent bioactivity and enhanced cell selectivity prevent and reverse rifampin resistance in Gram-negative bacteria,Ningyi Zhu|Chao Zhong|Tianqi Liu|Yuewen Zhu|Sanhu Gou|Hexin Bao|Jia Yao|Jingman Ni,2020,58,NOT Open Access,,Lanzhou University|First Hospital of Lanzhou University|Macau University of Science and Technology,2,Antimicrobial|Antimicrobial peptides|Bacteria|Peptide|Gram-negative bacteria|Microbiology|Biology|Polymyxin|Lysis|Antibiotics|Biochemistry|Chemistry|Escherichia coli
Combinatory effect of nisin antimicrobial peptide with bioactive molecules: A review,Tânia D. Tavares|Ana R. M. Ribeiro|Carla Silva|Joana C. Antunes|Helena P. Felgueiras,2023,27,Open Access,Fundação para a Ciência e a Tecnologia,University of Minho,1,Nisin|Antimicrobial|Antimicrobial peptides|Antibiotics|Bacteriocin|Peptide|Chemistry|Microbiology|Nanotechnology|Combinatorial chemistry|Biology|Biochemistry|Materials science
Antimicrobial Peptides and Their Mimetics: Promising Candidates of Next‐Generation Therapeutic Agents Combating Multidrug‐Resistant Bacteria,Tianyi Zhang|Qiao Jin|Jian Ji,2025,12,Open Access,National Natural Science Foundation of China,Zhejiang University|Second Affiliated Hospital of Zhejiang University,1,Antimicrobial|Antimicrobial peptides|Computational biology|Biochemical engineering|Multiple drug resistance|Nanotechnology|Antibiotics|Biology|Biotechnology|Microbiology|Engineering|Materials science
"HJH-1, a Broad-Spectrum Antimicrobial Activity and Low Cytotoxicity Antimicrobial Peptide",Qing Wang|Yanzhao Xu|Mengmeng Dong|Bolin Hang|Yawei Sun|Lei Wang|Yongqiang Wang|Jianhe Hu|Wenju Zhang,2018,33,Open Access,National Natural Science Foundation of China|Education Department of Henan Province,Shihezi University|Henan Institute of Science and Technology,1,Antimicrobial|Hemolysis|Antimicrobial peptides|Propidium iodide|Bacteria|Microbiology|Membrane|Biology|Candida albicans|Escherichia coli|Biochemistry|Antibacterial activity|Minimum inhibitory concentration|Chemistry|Apoptosis|Programmed cell death
Antimicrobial peptides in combination with citronellal efficiently kills multidrug resistance bacteria,Zhanyi Yang|Shiqi He|Yingxin Wei|Xuefeng Li|Anshan Shan|Jiajun Wang,2023,32,NOT Open Access,National Natural Science Foundation of China|Natural Science Foundation of Heilongjiang Province|National Key Research and Development Program of China,Northeast Agricultural University,1,Citronellal|Antimicrobial|Microbiology|Chemistry|Melittin|Bacteria|Antimicrobial peptides|Antibiotics|Cytotoxicity|Biology|Biochemistry|In vitro|Peptide
Synergy Between Proline-Rich Antimicrobial Peptides and Small Molecule Antibiotics Against Selected Gram-Negative Pathogens in vitro and in vivo,László Ötvös|Eszter Ostorházi|Dóra Szabó|Steven D. Zumbrun|Lynda L. Miller|Stephanie Halasohoris|Puvi D. Desai|Sharon M. Int Veldt|Carl Kraus,2018,56,Open Access,Semmelweis Egyetem,National Audubon Society|Semmelweis University|United States Army Medical Research Institute of Infectious Diseases|,2,Colistin|Acinetobacter baumannii|Imipenem|Meropenem|Microbiology|Klebsiella pneumoniae|Antimicrobial|Escherichia coli|Antibiotics|Carbapenem|In vivo|Chemistry|Medicine|Biology|Bacteria|Antibiotic resistance|Pseudomonas aeruginosa|Biochemistry
Immobilization and Intracellular Delivery of Structurally Nanoengineered Antimicrobial Peptide Polymers Using Polyphenol‐Based Capsules,Jiaying Song|Christina Cortez‐Jugo|Steven J. Shirbin|Zhixing Lin|Shuaijun Pan|Greg G. Qiao|Frank Caruso,2021,39,NOT Open Access,Australian Research Council|National Health and Medical Research Council,The University of Melbourne,1,Antimicrobial|Peptide|Tannic acid|Materials science|Capsule|Intracellular|Antimicrobial peptides|Drug delivery|Microparticle|Microbiology|Chemistry|Biochemistry|Nanotechnology|Organic chemistry|Chemical engineering|Biology
Augmentation of the antibacterial activities of Pt5-derived antimicrobial peptides (AMPs) by amino acid substitutions: Design of novel AMPs against MDR bacteria,Yashuo Wang|Peng‐Fei Cui|Yubo Zhang|Qingyun Yang|Shicui Zhang,2018,22,NOT Open Access,National Natural Science Foundation of China,Ocean University of China,1,Antimicrobial peptides|Biology|Bacteria|Antimicrobial|Peptide|Microbiology|Cathelicidin|Lipoteichoic acid|Lipopolysaccharide|Gram-negative bacteria|Biochemistry|Escherichia coli|Staphylococcus aureus|Immunology
Targeting Multidrug Resistance With Antimicrobial Peptide-Decorated Nanoparticles and Polymers,Solmaz Maleki Dizaj|Sara Salatin|Khadijeh Khezri|Jyh‐Yeuan Lee|Farzaneh Lotfipour,2022,27,Open Access,Natural Sciences and Engineering Research Council of Canada,Tabriz University of Medical Sciences|Urmia University|Urmia University of Medical Sciences|University of Ottawa,2,Antimicrobial peptides|Antimicrobial|Antibiotic resistance|Multiple drug resistance|Biology|Antibiotics|Biotechnology|Innate immune system|Microbiology|Computational biology|Immune system|Immunology
Slow-Release and Nontoxic Pickering Emulsion Platform for Antimicrobial Peptide,Luyun Cai|Minjie Cao|Joe M. Regenstein,2020,26,NOT Open Access,National Natural Science Foundation of China|Ministry of Science and Technology of the People's Republic of China,Ningbo University|Zhejiang University|Bohai University|Cornell University,2,Pickering emulsion|Antimicrobial|Emulsion|Chemistry|Cytotoxicity|Chitosan|Drug delivery|Bacteria|Microbiology|Biochemistry|Organic chemistry|Biology|In vitro
Photocleavable antimicrobial peptide mimics for precluding antibiotic resistance,Yang Feng|Yangyang Zhang|Ke Li|Na Tian|Weibo Wang|Qianxiong Zhou|Xuesong Wang,2018,10,NOT Open Access,National Natural Science Foundation of China|Chinese Academy of Sciences,Chinese Academy of Sciences|Technical Institute of Physics and Chemistry|University of Chinese Academy of Sciences,1,Chemistry|Antimicrobial|Peptide|Antibiotics|Antibiotic resistance|Antimicrobial peptides|Combinatorial chemistry|Microbiology|Biochemistry|Nanotechnology|Organic chemistry
Antimicrobial peptide similarity and classification through rough set theory using physicochemical boundaries,Kyle Boone|Kyle V. Camarda|Paulette Spencer|Candan Tamerler,2018,38,Open Access,University of Southern California|National Institutes of Health|National Institute of Arthritis and Musculoskeletal and Skin Diseases|National Institute of Dental and Craniofacial Research,University of Kansas|Bioengineering Center,2,Similarity (geometry)|Computational biology|Antimicrobial|Set (abstract data type)|Rough set|DNA microarray|Peptide|Computer science|Information retrieval|Biology|Data mining|Artificial intelligence|Genetics|Biochemistry|Microbiology|Gene
Antimicrobial Peptide Structures: From Model Membranes to Live Cells,Marc‐Antoine Sani|Frances Separovic,2017,27,NOT Open Access,Australian Research Council,The University of Melbourne,1,Melittin|Antimicrobial peptides|Peptide|Membrane|Lipid bilayer|Biophysics|Gramicidin|Bacteria|Antimicrobial|Biochemistry|Chemistry|Magainin|Biology|Microbiology
Current synthetic chemistry towards cyclic antimicrobial peptides,Tong He|Rui Qu|Jinqiang Zhang,2021,23,NOT Open Access,National Natural Science Foundation of China,Chongqing University,1,Antimicrobial peptides|Peptide|Chemistry|Antimicrobial|Cyclic peptide|Combinatorial chemistry|Residue (chemistry)|Antibiotics|Amino acid residue|Lipid-anchored protein|Biochemistry|Peptide sequence|Organic chemistry
Antimicrobial peptides at work: interaction of myxinidin and its mutant WMR with lipid bilayers mimicking the P. aeruginosa and E. coli membranes,Lucia Lombardi|Marco Ignazio Stellato|Rosario Oliva|Annarita Falanga|Massimiliano Galdiero|Luigi Petraccone|Geradino D’Errico|Augusta De Santis|Stefania Galdiero|Pompea Del Vecchio,2017,56,Open Access,,"University of Campania ""Luigi Vanvitelli""|University of Naples Federico II",1,Membrane|Lipid bilayer|Antimicrobial peptides|Chemistry|Bilayer|Mutant|Peptide|Lipid II|Escherichia coli|Bacteria|Cardiolipin|Biophysics|Biochemistry|Biology|Phospholipid|Biosynthesis
Antimicrobial Peptides and Cationic Nanoparticles: A Broad-Spectrum Weapon to Fight Multi-Drug Resistance Not Only in Bacteria,Giulia Elda Valenti|Silvana Alfei|Debora Caviglia|Cinzia Domenicotti|Barbara Marengo,2022,43,Open Access,,University of Genoa|University of Pisa,1,Antimicrobial|Drug resistance|Antibiotic resistance|Drug|Drug delivery|Broad spectrum|Cancer therapy|Antimicrobial peptides|Multiple drug resistance|Antibiotics|Bacteria|Peptidomimetic|Nanotechnology|Chemistry|Biotechnology|Pharmacology|Medicine|Biology|Cancer|Combinatorial chemistry|Microbiology|Peptide|Materials science|Biochemistry
"Synergistic Effect of Combinations Containing EDTA and the Antimicrobial Peptide AA230, an Arenicin-3 Derivative, on Gram-Negative Bacteria",Anita Umerska|Magnus Strandh|Viviane Cassisa|Nada Matougui|Matthieu Eveillard|Patrick Saulnier,2018,47,Open Access,European Commission,"Centre National de la Recherche Scientifique|Inserm|Université Bretagne Loire|Cibles thérapeutiques, formulation et expertise préclinique du médicament|Université de Lorraine||Centre Hospitalier Universitaire d'Angers|Université d'Angers|Nantes Université",1,Acinetobacter baumannii|Antimicrobial|Ethylenediaminetetraacetic acid|Pseudomonas aeruginosa|Microbiology|Antibacterial activity|Antibiotics|Minimum inhibitory concentration|Bacteria|Gram-negative bacteria|Chemistry|Escherichia coli|Antibiotic resistance|Acinetobacter|Biology|Chelation|Biochemistry
Modified CLEC3A-Derived Antimicrobial Peptides Lead to Enhanced Antimicrobial Activity against Drug-Resistant Bacteria,Denise Meinberger|Marco Drexelius|Joshua Grabeck|Gabriele Hermes|Annika Roth|Dzemal Elezagic|Ines Neundorf|Thomas Streichert|Andreas R. Klatt,2023,13,Open Access,Deutsche Forschungsgemeinschaft,University of Cologne,1,Antimicrobial|Antimicrobial peptides|Peptide|Antibiotics|Chemistry|Linker|Bacteria|Microbiology|Cytotoxicity|Biochemistry|In vitro|Biology
Coevolution of Resistance Against Antimicrobial Peptides,Piyush Baindara|Ananta K. Ghosh|Santi M. Mandal,2020,18,NOT Open Access,,University of Arkansas for Medical Sciences|Indian Institute of Technology Kharagpur,2,Biology|Antimicrobial peptides|Microbiology|Pathogen|Virulence|Antibiotic resistance|Coevolution|Innate immune system|Antimicrobial|Bacteria|Multiple drug resistance|Antibiotics|Immune system|Immunology|Genetics|Gene|Ecology
Towards the Development of Synthetic Antibiotics: Designs Inspired by Natural Antimicrobial Peptides,Fazren Azmi|Mariusz Skwarczyński|István Tóth,2016,27,NOT Open Access,,|University of Queensland,1,Antimicrobial peptides|Antimicrobial|Amphiphile|Antibiotics|Peptidomimetic|Combinatorial chemistry|Antibacterial activity|Bacteria|Computational biology|Biology|Peptide|Chemistry|Nanotechnology|Microbiology|Biochemistry|Materials science|Polymer|Organic chemistry
Molecular Basis for Membrane Selectivity of Antimicrobial Peptide Pleurocidin in the Presence of Different Eukaryotic and Prokaryotic Model Membranes,Reza Talandashti|Hamid Mahdiuni|Majid Jafari|Faramarz Mehrnejad,2019,40,NOT Open Access,,University of Tehran|Razi University,1,Membrane|Antimicrobial|Peptide|Antimicrobial peptides|Selectivity|Basis (linear algebra)|Chemistry|Computational biology|Combinatorial chemistry|Biochemistry|Biology|Organic chemistry|Mathematics|Catalysis
An optimized analog of antimicrobial peptide Jelleine-1 shows enhanced antimicrobial activity against multidrug resistant P. aeruginosa and negligible toxicity in vitro and in vivo,Jingjing Zhou|Lishi Zhang|Yuhang He|Kexin Liu|Fangfang Zhang|Hanru Zhang|Yaqi Lu|Changyan Yang|Zhaopeng Wang|Muhammad Subaan Fareed|Xiaolei Liang|Wenjin Yan|Kairong Wang,2021,65,NOT Open Access,National Natural Science Foundation of China,Lanzhou University|First Hospital of Lanzhou University|Gansu Provincial Maternal and Child Health Hospital,1,Antimicrobial|Chemistry|Pseudomonas aeruginosa|Bacteria|Multiple drug resistance|In vivo|Antimicrobial peptides|Toxicity|Hemolysis|Microbiology|Antibacterial activity|Gram-negative bacteria|Antibiotics|Pharmacology|Biochemistry|Biology|Escherichia coli|Biotechnology|Organic chemistry
Guar gum as a new antimicrobial peptide delivery system against diabetic foot ulcers Staphylococcus aureus isolates,Raquel Santos|Diana Gomes|Hermes Macedo|Diogo Barros|Catarina Tibério|Ana Salomé Veiga|Luís Tavares|Miguel A. R. B. Castanho|Manuela Oliveira,2016,44,Open Access,,University of Lisbon|ISPA - Instituto Universitário,1,Nisin|Guar gum|Antimicrobial|Microbiology|Minimum inhibitory concentration|Staphylococcus aureus|Minimum bactericidal concentration|Antimicrobial peptides|Biofilm|Antibiotics|Diabetic foot|Guar|Chemistry|Biology|Bacteria|Food science|Diabetes mellitus
Understanding of probiotic origin antimicrobial peptides: a sustainable approach ensuring food safety,Vishakha Bisht|Biki Das|Ajmal Hussain|Vinod Kumar|Naveen Kumar Navani,2024,30,Open Access,"ICAR - National Agricultural Science Fund|Indian Council of Agricultural Research|Ministry of Education, India|Division of Human Resource Development",Indian Institute of Technology Roorkee|Indian Navy,1,Probiotic|Food safety|Antimicrobial|Business|Antimicrobial peptides|Biotechnology|Food science|Chemistry|Biology|Microbiology|Bacteria
Recent advances to combat ESKAPE pathogens with special reference to essential oils,Sujogya Kumar Panda|Silvia Buroni|Shasank S. Swain|Andrea Bonacorsi|Érika Alves da Fonsêca Amorim|Mukta Kulshrestha|Luís Cláudio Nascimento da Silva|Vishvanath Tiwari,2022,51,Open Access,"Dipartimenti di Eccellenza|Coordenação de Aperfeiçoamento de Pessoal de Nível Superior|Fonds Wetenschappelijk Onderzoek|Ministero dell’Istruzione, dell’Università e della Ricerca|Università degli Studi di Pavia",Utkal University|University of Pavia|Indian Council of Medical Research|Regional Medical Research Centre|Universidade Ceuma|Central University of Rajasthan,3,Acinetobacter baumannii|Pseudomonas aeruginosa|Enterococcus faecium|Microbiology|Quorum sensing|Antibiotics|Antimicrobial|Biology|Antibiotic resistance|Biofilm|Staphylococcus aureus|Bacteria
Osseointegration and antibacterial effect of an antimicrobial peptide releasing mesoporous titania implant,Maria Pihl|Silvia Galli|Ryo Jimbo|Martin Andersson,2021,28,Open Access,Knut och Alice Wallenbergs Stiftelse|Malmö Högskola|Sahlgrenska Akademin,Chalmers University of Technology|Malmö University,1,Osseointegration|Biofilm|In vivo|Antimicrobial|Antibiotics|Drug delivery|Chemistry|Implant|Microbiology|Pharmacology|Biomedical engineering|Bacteria|Dentistry|Materials science|Nanotechnology|Medicine|Biology|Biochemistry|Surgery|Biotechnology
"Bacteriophages, phage endolysins and antimicrobial peptides – the possibilities for their common use to combat infections and in the design of new drugs",Tomasz Mirski|Lidia Mizak|Aleksandra Nakonieczna|Romuald Gryko,2019,41,Open Access,,Wojskowy Instytut Higieny i Epidemiologii,1,Lysin|Lytic cycle|Antimicrobial|Antimicrobial peptides|Bacteriophage|Microbiology|Biology|Phage therapy|Phage display|Bacteria|Pathogenic bacteria|Bacterial cell structure|Antibiotic resistance|Antibiotics|Computational biology|Peptide|Virology|Escherichia coli|Biochemistry|Genetics|Virus|Gene
"Hydrophobic residues are critical for the helix-forming, hemolytic and bactericidal activities of amphipathic antimicrobial peptide TP4",Ting-Wei Chang|Shu‐Yi Wei|Shih-Han Wang|Hung-Mu Wei|Yu-June Wang|Chiu‐Feng Wang|Chinpan Chen|You‐Di Liao,2017,36,Open Access,"Academia Sinica|Ministry of Science and Technology, Taiwan|Institute of Biomedical Sciences, Academia Sinica","Institute of Biomedical Sciences, Academia Sinica",1,Antimicrobial peptides|Antimicrobial|Biochemistry|Chemistry|Innate immune system|Peptide|Pseudomonas aeruginosa|Bacterial outer membrane|Bacteria|Amphiphile|Microbiology|Biology|Escherichia coli
Mining Amphibian and Insect Transcriptomes for Antimicrobial Peptide Sequences with rAMPage,Diana Lin|Darcy Sutherland|Sambina Islam Aninta|Nathan Louie|Ka Ming Nip|Chenkai Li|Anat Yanai|Lauren Coombe|René L. Warren|Caren C. Helbing|Linda Hoang|İnanç Birol,2022,25,Open Access,Genome Canada,Canada's Michael Smith Genome Sciences Centre|University of British Columbia|BC Centre for Disease Control|University of Victoria,1,Amphibian|Transcriptome|Insect|Antimicrobial|Biology|Computational biology|Evolutionary biology|Zoology|Ecology|Microbiology|Genetics|Gene|Gene expression
The effects of antimicrobial peptides WAM-1 and LL-37 on multidrug-resistant Acinetobacter baumannii,John J Spencer|Rowan E Pitts|Rachel A Pearson|Lauren B. King,2018,34,Open Access,,Columbus State University,1,Acinetobacter baumannii|Microbiology|Biofilm|Antimicrobial|Antibiotics|Multiple drug resistance|Biology|Antimicrobial peptides|Antibiotic resistance|Acinetobacter|Bacteria|Pseudomonas aeruginosa
"Combating Antibiotic Resistance: Mechanisms, Multidrug-Resistant Pathogens, and Novel Therapeutic Approaches: An Updated Review",Mostafa E. Elshobary|Nadia K. Badawy|Yara Ashraf|Asmaa A. Zatioun|Hagar H. Masriya|Mohammed Ammar|Nourhan A. Mohamed|Sohaila Mourad|Abdelrahman M. Assy,2025,159,Open Access,,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung|Tanta University|Ain Shams University|Damanhour University|Benha University|Sinai University|Alexandria University,2,Efflux|Antibiotic resistance|Multiple drug resistance|Antibiotics|Antimicrobial|Biology|Acinetobacter baumannii|Microbiology|Biotechnology|Bacteria|Pseudomonas aeruginosa|Genetics
Antimicrobial Peptides: A Potential Therapeutic Option for Surgical Site Infections.,Berthony Deslouches|Y. Peter Di,2017,21,Open Access,,University of Pittsburgh,1,Antimicrobial|Antimicrobial peptides|Antibiotics|Medicine|Antibiotic resistance|Intensive care medicine|Multiple drug resistance|Drug resistance|Microbiology|Biology
Self-Entrapment of Antimicrobial Peptides in Silica Particles for Stable and Effective Antimicrobial Peptide Delivery System,Mi‐Ran Ki|Sung Ho Kim|Tae-In Park|Seung Pil Pack,2023,16,Open Access,"National Research Foundation|National Research Foundation of Korea|Ministry of Science and ICT, South Korea",Korea University,1,Antimicrobial|Peptide|Antimicrobial peptides|Drug delivery|Chemistry|Trypsin|Cationic polymerization|Cytotoxicity|Protease|Combinatorial chemistry|Materials science|Biochemistry|In vitro|Enzyme|Organic chemistry
Emerging Strategies to Combat β-Lactamase Producing ESKAPE Pathogens,Corneliu Ovidiu Vrâncianu|Irina Gheorghe|Elena-Georgiana Dobre|Ilda Czobor Barbu|Roxana Elena Cristian|Marcela Popa|Sang Hee Lee|Carmen Limban|Ilinca Margareta Vlad|Mariana Carmen Chifiriuc,2020,46,Open Access,Universitatea din București,University of Bucharest|Myongji University|Carol Davila University of Medicine and Pharmacy|Academia Oamenilor de Știință din România,2,Acinetobacter baumannii|Microbiology|Pseudomonas aeruginosa|Antimicrobial|Staphylococcus aureus|Antibiotics|Penicillin|Acinetobacter|Antibiotic resistance|Enterobacter|Biology|Klebsiella pneumoniae|Bacteria|Escherichia coli|Gene
Augmentation of Cationic Antimicrobial Peptide Production with Histone Deacetylase Inhibitors as a Novel Epigenetic Therapy for Bacterial Infections,Roshan Dinesh Yedery|Ann E. Jerse,2015,40,Open Access,National Institute of Allergy and Infectious Diseases,Uniformed Services University of the Health Sciences,1,Histone deacetylase|Histone|Epigenetics|Biology|Antimicrobial|Innate immune system|Effector|Antimicrobial peptides|Antibiotics|Transcription factor|Microbiology|Cell biology|Gene|Biochemistry|Genetics|Immune system
Innovative Strategies and Methodologies in Antimicrobial Peptide Design,Devesh Pratap Verma|Amit Kumar Tripathi|Ashwani Kumar Thakur,2024,19,Open Access,,Indian Institute of Technology Kanpur|University of North Texas|University of North Texas Health Science Center,2,Antimicrobial peptides|Identification (biology)|Computational biology|Antimicrobial|Rational design|Innate immune system|Biology|Biochemical engineering|Computer science|Immune system|Engineering|Immunology|Microbiology
Therapeutic Potential of a Scorpion Venom-Derived Antimicrobial Peptide and Its Homologs Against Antibiotic-Resistant Gram-Positive Bacteria,Gaomin Liu|Fan Yang|Fangfang Li|Zhongjie Li|Yange Lang|Bingzheng Shen|Yingliang Wu|Wenxin Li|Patrick L. Harrison|Peter N. Strong|Yingqiu Xie|Keith Miller|Zhijian Cao,2018,47,Open Access,National Natural Science Foundation of China|Fundamental Research Funds for the Central Universities,Wuhan University|Sheffield Hallam University|Nazarbayev University,3,Biology|Antimicrobial|Microbiology|Antibiotics|Antibiotic resistance|Bacteria|Antimicrobial peptides|Genetics
"Optimization of Host Cell-Compatible, Antimicrobial Peptides Effective against Biofilms and Clinical Isolates of Drug-Resistant Bacteria",Jenisha Ghimire|Robert J. Hart|Anabel Soldano|Charles H. Chen|Shantanu Guha|Joseph P. Hoffmann|Kalen M. Hall|Leisheng Sun|Benjamin J. Nelson|Timothy K. Lu|Jay K. Kolls|Mario Rivera|Lisa A. Morici|William C. Wimley,2023,13,Open Access,"Cystic Fibrosis Foundation|Presbyterian Historical Society|Louisiana Board of Regents|National Institutes of Health|National Heart, Lung, and Blood Institute|National Institute of Allergy and Infectious Diseases",Tulane University|Louisiana State University|Massachusetts Institute of Technology,1,Microbiology|Antimicrobial|Bacteria|Biofilm|Drug|Drug resistance|Host (biology)|Antimicrobial peptides|Biology|Antibiotics|Virology|Pharmacology
Microbial production systems and optimization strategies of antimicrobial peptides: a review,Mengxue Lou|Shuaiqi Ji|Rina Wu|Yi Zhu|Junrui Wu|Jiachao Zhang,2025,24,NOT Open Access,National Natural Science Foundation of China,Shenyang Agricultural University|Shenyang University of Technology|Shenyang University of Chemical Technology|Institute for Fermentation|Hainan University,2,Antimicrobial|Production (economics)|Antimicrobial peptides|Biotechnology|Biochemical engineering|Microbiology|Biology|Engineering|Economics
Simultaneous Antibiofilm and Antiviral Activities of an Engineered Antimicrobial Peptide during Virus-Bacterium Coinfection,Jeffrey A. Melvin|Lauren Lashua|Megan R. Kiedrowski|Guanyi Yang|Berthony Deslouches|Ronald C. Montelaro|Jennifer M. Bomberger,2016,33,Open Access,"Cystic Fibrosis Foundation|National Institutes of Health|National Heart, Lung, and Blood Institute|National Institute of Allergy and Infectious Diseases|National Institute of Diabetes and Digestive and Kidney Diseases",University of Pittsburgh|Tsinghua University,2,Antimicrobial|Biofilm|Microbiology|Antibiotic resistance|Pseudomonas aeruginosa|Biology|Antibiotics|Antimicrobial peptides|Coinfection|Multiple drug resistance|Drug resistance|Pathogen|Virus|Virology|Bacteria
Bacteriocin—a potential antimicrobial peptide towards disrupting and preventing biofilm formation in the clinical and environmental locales,Senbagam Duraisamy|Senthilkumar Balakrishnan|Sukumar Ranjith|Fazal Husain|Aswathy Sathyan|Ansu Susan Peter|Chidambaram Prahalathan|Anbarasu Kumarasamy,2020,35,NOT Open Access,,Bharathidasan University|Haramaya University,2,Biofilm|Bacteriocin|Antibiotic resistance|Antimicrobial|Extracellular polymeric substance|Antimicrobial peptides|Antibiotics|Microbiology|Biotechnology|Bacteria|Business|Biology
Characterisation of cell membrane interaction mechanisms of antimicrobial peptides by electrical bilayer recording,Diana Priyadarshini|Josip Ivica|Frances Separovic|Maurits R.R. de Planque,2021,29,NOT Open Access,University of Southampton,University of Southampton|University of Melbourne,2,Melittin|Antimicrobial peptides|Membrane|Bilayer|Lipid bilayer|Chemistry|Lysis|Biophysics|Peptide|Phospholipid|Cell membrane|Biological membrane|Biochemistry|Biology
A Synergistic New Approach Toward Enhanced Antibacterial Efficacy via Antimicrobial Peptide Immobilization on a Nitric Oxide-Releasing Surface,Arnab Mondal|Priyadarshini Singha|Megan Douglass|Lori Estes|Mark Garren|Lauren Griffin|Anil Kumar|Hitesh Handa,2021,45,NOT Open Access,"National Heart, Lung, and Blood Institute",University of Georgia,1,Nisin|Biocompatibility|Materials science|Biofilm|Antimicrobial|Nuclear chemistry|Antibacterial activity|Chemistry|Organic chemistry|Bacteria|Biology
